email_text,label
Final Notice: we detected suspicious activity.,1
Security Alert: your password expires in 24 hours.,1
You won!: send payment to this address.,1
URGENT: claim your $1000 gift card now.,1
Lunch - thanks for your help.,0
URGENT: your password expires in 24 hours.,1
Account Suspended: login immediately to avoid closure.,1
Account Suspended: click here to verify your identity.,1
Security Alert: login immediately to avoid closure.,1
Quick question - let's sync up later.,0
Account Suspended: your password expires in 24 hours.,1
Schedule - don't forget the deadline.,0
Claim your prize: download this attachment to view.,1
You won!: download this attachment to view.,1
You won!: click here to verify your identity.,1
Security Alert: login immediately to avoid closure.,1
Reminder - can you review this?,0
Account Suspended: send payment to this address.,1
Account Suspended: we detected suspicious activity.,1
Hey - hope you are doing well.,0
URGENT: login immediately to avoid closure.,1
Invoice - see you at 2 PM.,0
Reminder - can you review this?,0
Final Notice: download this attachment to view.,1
Meeting - can you review this?,0
Meeting - hope you are doing well.,0
Schedule - are we still on for tomorrow?,0
Final Notice: claim your $1000 gift card now.,1
Account Suspended: claim your $1000 gift card now.,1
Action Required: download this attachment to view.,1
Lunch - let's sync up later.,0
Lunch - can you review this?,0
Security Alert: claim your $1000 gift card now.,1
Quick question - see you at 2 PM.,0
Invoice - are we still on for tomorrow?,0
Invoice - can you review this?,0
Account Suspended: login immediately to avoid closure.,1
Final Notice: your password expires in 24 hours.,1
You won!: login immediately to avoid closure.,1
Quick question - see you at 2 PM.,0
Quick question - can you review this?,0
Meeting - see you at 2 PM.,0
Schedule - can you review this?,0
Security Alert: download this attachment to view.,1
Quick question - hope you are doing well.,0
Meeting - thanks for your help.,0
Final Notice: we detected suspicious activity.,1
URGENT: we detected suspicious activity.,1
Invoice - hope you are doing well.,0
Security Alert: click here to verify your identity.,1
URGENT: we detected suspicious activity.,1
Final Notice: your password expires in 24 hours.,1
Meeting - don't forget the deadline.,0
Security Alert: download this attachment to view.,1
Reminder - let's sync up later.,0
Lunch - hope you are doing well.,0
Claim your prize: click here to verify your identity.,1
Project update - please find attached the document.,0
Lunch - can you review this?,0
Action Required: claim your $1000 gift card now.,1
Lunch - thanks for your help.,0
Lunch - see you at 2 PM.,0
URGENT: download this attachment to view.,1
Quick question - can you review this?,0
Account Suspended: login immediately to avoid closure.,1
Final Notice: your password expires in 24 hours.,1
Account Suspended: download this attachment to view.,1
URGENT: your password expires in 24 hours.,1
Project update - are we still on for tomorrow?,0
Final Notice: login immediately to avoid closure.,1
Lunch - hope you are doing well.,0
Quick question - see you at 2 PM.,0
Claim your prize: we detected suspicious activity.,1
Security Alert: login immediately to avoid closure.,1
Invoice - hope you are doing well.,0
Lunch - don't forget the deadline.,0
Final Notice: send payment to this address.,1
Reminder - thanks for your help.,0
Account Suspended: login immediately to avoid closure.,1
Reminder - hope you are doing well.,0
Account Suspended: login immediately to avoid closure.,1
Lunch - are we still on for tomorrow?,0
Schedule - thanks for your help.,0
Lunch - please find attached the document.,0
Lunch - don't forget the deadline.,0
Security Alert: login immediately to avoid closure.,1
Security Alert: login immediately to avoid closure.,1
Action Required: your password expires in 24 hours.,1
Final Notice: your password expires in 24 hours.,1
Project update - don't forget the deadline.,0
Invoice - can you review this?,0
Meeting - don't forget the deadline.,0
You won!: download this attachment to view.,1
Lunch - let's sync up later.,0
Account Suspended: click here to verify your identity.,1
Quick question - see you at 2 PM.,0
Claim your prize: download this attachment to view.,1
Schedule - see you at 2 PM.,0
Hey - are we still on for tomorrow?,0
Action Required: your password expires in 24 hours.,1
You won!: login immediately to avoid closure.,1
Invoice - can you review this?,0
Final Notice: click here to verify your identity.,1
Hey - please find attached the document.,0
You won!: login immediately to avoid closure.,1
You won!: your password expires in 24 hours.,1
Action Required: claim your $1000 gift card now.,1
Security Alert: send payment to this address.,1
Lunch - thanks for your help.,0
Action Required: claim your $1000 gift card now.,1
You won!: claim your $1000 gift card now.,1
URGENT: claim your $1000 gift card now.,1
URGENT: send payment to this address.,1
You won!: download this attachment to view.,1
Quick question - please find attached the document.,0
Invoice - are we still on for tomorrow?,0
Project update - please find attached the document.,0
URGENT: click here to verify your identity.,1
Final Notice: your password expires in 24 hours.,1
Lunch - see you at 2 PM.,0
Claim your prize: download this attachment to view.,1
Lunch - are we still on for tomorrow?,0
URGENT: click here to verify your identity.,1
Schedule - see you at 2 PM.,0
Invoice - thanks for your help.,0
Claim your prize: login immediately to avoid closure.,1
Security Alert: login immediately to avoid closure.,1
Invoice - see you at 2 PM.,0
You won!: click here to verify your identity.,1
Final Notice: we detected suspicious activity.,1
Security Alert: we detected suspicious activity.,1
You won!: send payment to this address.,1
Lunch - please find attached the document.,0
Security Alert: we detected suspicious activity.,1
Claim your prize: download this attachment to view.,1
Schedule - let's sync up later.,0
Reminder - thanks for your help.,0
