text,label
Local team wins the championship after a hard-fought season.,0
Researchers discover a new species of frog in the Amazon rainforest.,0
The stock market saw a slight decline today due to inflation concerns.,0
The stock market saw a slight decline today due to inflation concerns.,0
Shocking: Drinking bleach cures all known diseases instantly.,1
Space agency successfully launches satellite into orbit.,0
Diplomats meet to discuss new trade agreements between nations.,0
City council approves budget for new public park and recreation center.,0
Unemployment rate drops to lowest level in five years according to report.,0
Billionaire gives away entire fortune to anyone who shares this post.,1
Local team wins the championship after a hard-fought season.,0
Billionaire gives away entire fortune to anyone who shares this post.,1
Diplomats meet to discuss new trade agreements between nations.,0
City council approves budget for new public park and recreation center.,0
Space agency successfully launches satellite into orbit.,0
Unemployment rate drops to lowest level in five years according to report.,0
"BREAKING: Aliens land in New York, government hides evidence!",1
City council approves budget for new public park and recreation center.,0
Local team wins the championship after a hard-fought season.,0
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
Unemployment rate drops to lowest level in five years according to report.,0
Celebrity XYZ arrested for being a secret lizard person.,1
Shocking: Drinking bleach cures all known diseases instantly.,1
Researchers discover a new species of frog in the Amazon rainforest.,0
"BREAKING: Aliens land in New York, government hides evidence!",1
Scientists prove that the moon is made entirely of cheese.,1
Shocking: Drinking bleach cures all known diseases instantly.,1
Diplomats meet to discuss new trade agreements between nations.,0
New study shows a Mediterranean diet can improve heart health.,0
Researchers discover a new species of frog in the Amazon rainforest.,0
Billionaire gives away entire fortune to anyone who shares this post.,1
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
Local team wins the championship after a hard-fought season.,0
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
"BREAKING: Aliens land in New York, government hides evidence!",1
"Dinosaurs still alive in remote African jungle, say experts.",1
Researchers discover a new species of frog in the Amazon rainforest.,0
Technology company announces release of their latest smartphone model.,0
Local team wins the championship after a hard-fought season.,0
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
"Dinosaurs still alive in remote African jungle, say experts.",1
Billionaire gives away entire fortune to anyone who shares this post.,1
Elections rigged! Secret cabal caught counting millions of fake votes.,1
Technology company announces release of their latest smartphone model.,0
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
Vaccines contain microchips to track your every move.,1
Technology company announces release of their latest smartphone model.,0
Local team wins the championship after a hard-fought season.,0
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
Researchers discover a new species of frog in the Amazon rainforest.,0
The stock market saw a slight decline today due to inflation concerns.,0
Unemployment rate drops to lowest level in five years according to report.,0
Shocking: Drinking bleach cures all known diseases instantly.,1
Space agency successfully launches satellite into orbit.,0
World flat according to newly discovered NASA documents.,1
"BREAKING: Aliens land in New York, government hides evidence!",1
Researchers discover a new species of frog in the Amazon rainforest.,0
"BREAKING: Aliens land in New York, government hides evidence!",1
Shocking: Drinking bleach cures all known diseases instantly.,1
The stock market saw a slight decline today due to inflation concerns.,0
Billionaire gives away entire fortune to anyone who shares this post.,1
Celebrity XYZ arrested for being a secret lizard person.,1
New study shows a Mediterranean diet can improve heart health.,0
"Major city to be destroyed by asteroid tomorrow, NASA silent.",1
Technology company announces release of their latest smartphone model.,0
New study shows a Mediterranean diet can improve heart health.,0
New study shows a Mediterranean diet can improve heart health.,0
Diplomats meet to discuss new trade agreements between nations.,0
"BREAKING: Aliens land in New York, government hides evidence!",1
City council approves budget for new public park and recreation center.,0
Vaccines contain microchips to track your every move.,1
World flat according to newly discovered NASA documents.,1
The stock market saw a slight decline today due to inflation concerns.,0
Local team wins the championship after a hard-fought season.,0
Elections rigged! Secret cabal caught counting millions of fake votes.,1
