text,label
local team wins the championship after a hardfought season,0
researchers discover a new species of frog in the amazon rainforest,0
the stock market saw a slight decline today due to inflation concerns,0
the stock market saw a slight decline today due to inflation concerns,0
shocking drinking bleach cures all known diseases instantly,1
space agency successfully launches satellite into orbit,0
diplomats meet to discuss new trade agreements between nations,0
city council approves budget for new public park and recreation center,0
unemployment rate drops to lowest level in five years according to report,0
billionaire gives away entire fortune to anyone who shares this post,1
local team wins the championship after a hardfought season,0
billionaire gives away entire fortune to anyone who shares this post,1
diplomats meet to discuss new trade agreements between nations,0
city council approves budget for new public park and recreation center,0
space agency successfully launches satellite into orbit,0
unemployment rate drops to lowest level in five years according to report,0
breaking aliens land in new york government hides evidence,1
city council approves budget for new public park and recreation center,0
local team wins the championship after a hardfought season,0
major city to be destroyed by asteroid tomorrow nasa silent,1
unemployment rate drops to lowest level in five years according to report,0
celebrity xyz arrested for being a secret lizard person,1
shocking drinking bleach cures all known diseases instantly,1
researchers discover a new species of frog in the amazon rainforest,0
breaking aliens land in new york government hides evidence,1
scientists prove that the moon is made entirely of cheese,1
shocking drinking bleach cures all known diseases instantly,1
diplomats meet to discuss new trade agreements between nations,0
new study shows a mediterranean diet can improve heart health,0
researchers discover a new species of frog in the amazon rainforest,0
billionaire gives away entire fortune to anyone who shares this post,1
major city to be destroyed by asteroid tomorrow nasa silent,1
local team wins the championship after a hardfought season,0
major city to be destroyed by asteroid tomorrow nasa silent,1
breaking aliens land in new york government hides evidence,1
dinosaurs still alive in remote african jungle say experts,1
researchers discover a new species of frog in the amazon rainforest,0
technology company announces release of their latest smartphone model,0
local team wins the championship after a hardfought season,0
major city to be destroyed by asteroid tomorrow nasa silent,1
dinosaurs still alive in remote african jungle say experts,1
billionaire gives away entire fortune to anyone who shares this post,1
elections rigged secret cabal caught counting millions of fake votes,1
technology company announces release of their latest smartphone model,0
major city to be destroyed by asteroid tomorrow nasa silent,1
vaccines contain microchips to track your every move,1
technology company announces release of their latest smartphone model,0
local team wins the championship after a hardfought season,0
major city to be destroyed by asteroid tomorrow nasa silent,1
researchers discover a new species of frog in the amazon rainforest,0
the stock market saw a slight decline today due to inflation concerns,0
unemployment rate drops to lowest level in five years according to report,0
shocking drinking bleach cures all known diseases instantly,1
space agency successfully launches satellite into orbit,0
world flat according to newly discovered nasa documents,1
breaking aliens land in new york government hides evidence,1
researchers discover a new species of frog in the amazon rainforest,0
breaking aliens land in new york government hides evidence,1
shocking drinking bleach cures all known diseases instantly,1
the stock market saw a slight decline today due to inflation concerns,0
billionaire gives away entire fortune to anyone who shares this post,1
celebrity xyz arrested for being a secret lizard person,1
new study shows a mediterranean diet can improve heart health,0
major city to be destroyed by asteroid tomorrow nasa silent,1
technology company announces release of their latest smartphone model,0
new study shows a mediterranean diet can improve heart health,0
new study shows a mediterranean diet can improve heart health,0
diplomats meet to discuss new trade agreements between nations,0
breaking aliens land in new york government hides evidence,1
city council approves budget for new public park and recreation center,0
vaccines contain microchips to track your every move,1
world flat according to newly discovered nasa documents,1
the stock market saw a slight decline today due to inflation concerns,0
local team wins the championship after a hardfought season,0
elections rigged secret cabal caught counting millions of fake votes,1
major city to be destroyed by asteroid tomorrow nasa silent,1
new study shows a mediterranean diet can improve heart health,0
major city to be destroyed by asteroid tomorrow nasa silent,1
unemployment rate drops to lowest level in five years according to report,0
vaccines contain microchips to track your every move,1
unemployment rate drops to lowest level in five years according to report,0
billionaire gives away entire fortune to anyone who shares this post,1
scientists prove that the moon is made entirely of cheese,1
vaccines contain microchips to track your every move,1
dinosaurs still alive in remote african jungle say experts,1
